Year,Inflation_Rate,Annual_Change_Inflation
1960,1.3587,NA
1961,1.0188,-0.34
1962,1.0616,0.04
1963,1.6282,0.57
1964,1.9121,0.28
1965,2.3327,0.42
1966,3.8157,1.48
1967,3.58,-0.24
1968,4.0553,0.48
1969,4.5616,0.51
1970,3.346,-1.22
1971,2.7049,-0.64
1972,4.988,2.28
1973,7.4876,2.5
1974,10.9972,3.51
1975,10.6722,-0.32
1976,7.5417,-3.13
1977,7.9764,0.43
1978,8.9737,1
1979,9.1447,0.17
1980,10.1292,0.98
1981,12.4716,2.34
1982,10.769,-1.7
1983,5.8636,-4.91
1984,4.3048,-1.56
1985,3.962,-0.34
1986,4.1948,0.23
1987,4.3561,0.16
1988,4.0282,-0.33
1989,4.9836,0.96
1990,4.7805,-0.2
1991,5.6259,0.85
1992,1.4901,-4.14
1993,1.8651,0.38
1994,0.1656,-1.7
1995,2.1488,1.98
1996,1.5705,-0.58
1997,1.6212,0.05
1998,0.9959,-0.63
1999,1.7348,0.74
2000,2.7194,0.98
2001,2.5251,-0.19
2002,2.2584,-0.27
2003,2.7586,0.5
2004,1.8573,-0.9
2005,2.2136,0.36
2006,2.002,-0.21
2007,2.1384,0.14
2008,2.3703,0.23
2009,0.2995,-2.07
2010,1.7769,1.48
2011,2.9121,1.14
2012,1.5157,-1.4
2013,0.9383,-0.58
2014,1.9066,0.97
2015,1.1252,-0.78
2016,1.4288,0.3
2017,1.5969,0.17
2018,2.2682,0.67
2019,1.9493,-0.32
2020,0.717,-1.23
2021,3.3952,2.68
2022,6.8028,3.41
